model_arch,train_type,layer,sub,target_age,target_roi,corr
cornet_z_cl,imagenet_noface,aIT,NDARUY339ZLN,7.0,rLO,0.11390814729832596
cornet_z_cl,imagenet_noface,aIT,NDARUY339ZLN,7.0,rFFA,0.08167928785463072
cornet_z_cl,imagenet_noface,aIT,NDARUY339ZLN,7.0,rOFA,0.10301438895982919
cornet_z_cl,imagenet_noface,aIT,NDARVB012UWL,6.0,lLO,0.09360580189991562
cornet_z_cl,imagenet_noface,aIT,NDARVB012UWL,6.0,lFFA,0.05456158136124882
cornet_z_cl,imagenet_noface,aIT,NDARVB012UWL,6.0,lOFA,0.05352016128879658
cornet_z_cl,imagenet_noface,aIT,NDARVB012UWL,6.0,rLO,0.09502612768722761
cornet_z_cl,imagenet_noface,aIT,NDARVB012UWL,6.0,rFFA,0.06953738241763212
cornet_z_cl,imagenet_noface,aIT,NDARVB012UWL,6.0,rOFA,0.07598931841576197
cornet_z_cl,imagenet_noface,aIT,NDARVB151GXF,7.0,lLO,0.09559510863364235
cornet_z_cl,imagenet_noface,aIT,NDARVB151GXF,7.0,lFFA,0.044830297303674174
cornet_z_cl,imagenet_noface,aIT,NDARVB151GXF,7.0,lOFA,0.06295712138890285
cornet_z_cl,imagenet_noface,aIT,NDARVB151GXF,7.0,rLO,0.11296785125404801
cornet_z_cl,imagenet_noface,aIT,NDARVB151GXF,7.0,rFFA,0.0885346564278671
cornet_z_cl,imagenet_noface,aIT,NDARVB151GXF,7.0,rOFA,0.08145901253045147
cornet_z_cl,imagenet_noface,aIT,NDARVC350WVG,6.0,lLO,0.12501643906719467
cornet_z_cl,imagenet_noface,aIT,NDARVC350WVG,6.0,lFFA,0.1011381265133033
cornet_z_cl,imagenet_noface,aIT,NDARVC350WVG,6.0,lOFA,0.09603947263510332
cornet_z_cl,imagenet_noface,aIT,NDARVC350WVG,6.0,rLO,0.13733274258239117
cornet_z_cl,imagenet_noface,aIT,NDARVC350WVG,6.0,rFFA,0.12179839722585653
cornet_z_cl,imagenet_noface,aIT,NDARVC350WVG,6.0,rOFA,0.11874043665494066
cornet_z_cl,imagenet_noface,aIT,NDARVC711ZK0,7.0,lLO,0.15549879298955516
cornet_z_cl,imagenet_noface,aIT,NDARVC711ZK0,7.0,lFFA,0.13080921482458935
cornet_z_cl,imagenet_noface,aIT,NDARVC711ZK0,7.0,lOFA,0.10959196489563043
cornet_z_cl,imagenet_noface,aIT,NDARVC711ZK0,7.0,rLO,0.14506016494533733
cornet_z_cl,imagenet_noface,aIT,NDARVC711ZK0,7.0,rFFA,0.13779467894833297
cornet_z_cl,imagenet_noface,aIT,NDARVC711ZK0,7.0,rOFA,0.12600534141546135
cornet_z_cl,imagenet_noface,aIT,NDARVC964LX0,8.0,lLO,0.15520847985150432
cornet_z_cl,imagenet_noface,aIT,NDARVC964LX0,8.0,lFFA,0.10445456723696664
cornet_z_cl,imagenet_noface,aIT,NDARVC964LX0,8.0,lOFA,0.09287729894401515
cornet_z_cl,imagenet_noface,aIT,NDARVC964LX0,8.0,rLO,0.1564349145318477
cornet_z_cl,imagenet_noface,aIT,NDARVC964LX0,8.0,rFFA,0.12328237131788508
cornet_z_cl,imagenet_noface,aIT,NDARVC964LX0,8.0,rOFA,0.1330433624207355
cornet_z_cl,imagenet_noface,aIT,NDARWC174VE6,7.0,lLO,0.10788960376618784
cornet_z_cl,imagenet_noface,aIT,NDARWC174VE6,7.0,lFFA,0.07406396498150643
cornet_z_cl,imagenet_noface,aIT,NDARWC174VE6,7.0,lOFA,0.08837106582611866
cornet_z_cl,imagenet_noface,aIT,NDARWC174VE6,7.0,rLO,0.0993283225185846
cornet_z_cl,imagenet_noface,aIT,NDARWC174VE6,7.0,rFFA,0.09743402303943162
cornet_z_cl,imagenet_noface,aIT,NDARWC174VE6,7.0,rOFA,0.08988775724409016
cornet_z_cl,imagenet_noface,aIT,NDARWV984WMM,6.0,lLO,0.15891519093008755
cornet_z_cl,imagenet_noface,aIT,NDARWV984WMM,6.0,lFFA,0.12632027374553897
cornet_z_cl,imagenet_noface,aIT,NDARWV984WMM,6.0,lOFA,0.11112160987274478
cornet_z_cl,imagenet_noface,aIT,NDARWV984WMM,6.0,rLO,0.10238594119715817
