sub,age,roi,r2,architecture,train_type,layer,corr
sub-pixar026,3.93155373,lFFA,,cornet_z_sl,imagenet_noface,aIT,0.06438080127423537
sub-pixar026,3.93155373,rFFA,,cornet_z_sl,imagenet_noface,aIT,0.06658835464475464
sub-pixar026,3.93155373,lA1,,cornet_z_sl,imagenet_noface,aIT,-0.011006859123229285
sub-pixar026,3.93155373,rA1,,cornet_z_sl,imagenet_noface,aIT,0.010327368603207397
sub-pixar027,3.989048597,lLO,,cornet_z_sl,imagenet_noface,aIT,0.07134102182013402
sub-pixar027,3.989048597,rLO,,cornet_z_sl,imagenet_noface,aIT,0.19209248339557464
sub-pixar027,3.989048597,lFFA,,cornet_z_sl,imagenet_noface,aIT,0.09504982742934007
sub-pixar027,3.989048597,rFFA,,cornet_z_sl,imagenet_noface,aIT,0.11075319602729006
sub-pixar027,3.989048597,lA1,,cornet_z_sl,imagenet_noface,aIT,0.22343807874293883
sub-pixar027,3.989048597,rA1,,cornet_z_sl,imagenet_noface,aIT,0.2865676354183541
sub-pixar028,3.534565366,lLO,,cornet_z_sl,imagenet_noface,aIT,-0.06350173112882743
sub-pixar028,3.534565366,rLO,,cornet_z_sl,imagenet_noface,aIT,-0.03266167200984297
sub-pixar028,3.534565366,lFFA,,cornet_z_sl,imagenet_noface,aIT,-0.01075543580173437
sub-pixar028,3.534565366,rFFA,,cornet_z_sl,imagenet_noface,aIT,-0.005448465942752417
sub-pixar028,3.534565366,lA1,,cornet_z_sl,imagenet_noface,aIT,-0.1959893575575129
sub-pixar028,3.534565366,rA1,,cornet_z_sl,imagenet_noface,aIT,-0.11111007433630939
sub-pixar029,4.309377139,lLO,,cornet_z_sl,imagenet_noface,aIT,0.0010934955476444436
sub-pixar029,4.309377139,rLO,,cornet_z_sl,imagenet_noface,aIT,-0.007530709469822049
sub-pixar029,4.309377139,lFFA,,cornet_z_sl,imagenet_noface,aIT,-0.0955442623983912
sub-pixar029,4.309377139,rFFA,,cornet_z_sl,imagenet_noface,aIT,-0.002419201758592386
sub-pixar029,4.309377139,lA1,,cornet_z_sl,imagenet_noface,aIT,0.09111717175660256
sub-pixar029,4.309377139,rA1,,cornet_z_sl,imagenet_noface,aIT,0.04568917918806333
sub-pixar030,4.156057495,lLO,,cornet_z_sl,imagenet_noface,aIT,-0.031258046145048214
sub-pixar030,4.156057495,rLO,,cornet_z_sl,imagenet_noface,aIT,0.0012329203684824444
sub-pixar030,4.156057495,lFFA,,cornet_z_sl,imagenet_noface,aIT,-0.07895756062738055
sub-pixar030,4.156057495,rFFA,,cornet_z_sl,imagenet_noface,aIT,0.02455698688341041
sub-pixar030,4.156057495,lA1,,cornet_z_sl,imagenet_noface,aIT,-0.02272709040833208
sub-pixar030,4.156057495,rA1,,cornet_z_sl,imagenet_noface,aIT,0.019431564326295177
sub-pixar031,4.084873374,lLO,,cornet_z_sl,imagenet_noface,aIT,-0.21000682581015176
sub-pixar031,4.084873374,rLO,,cornet_z_sl,imagenet_noface,aIT,-0.10575075911114133
sub-pixar031,4.084873374,lFFA,,cornet_z_sl,imagenet_noface,aIT,-0.059237480775935415
sub-pixar031,4.084873374,rFFA,,cornet_z_sl,imagenet_noface,aIT,-0.019002732306944714
sub-pixar031,4.084873374,lA1,,cornet_z_sl,imagenet_noface,aIT,-0.09282838840625307
sub-pixar031,4.084873374,rA1,,cornet_z_sl,imagenet_noface,aIT,0.02204814289088647
sub-pixar032,5.43,lLO,,cornet_z_sl,imagenet_noface,aIT,-0.025329626119257494
sub-pixar032,5.43,rLO,,cornet_z_sl,imagenet_noface,aIT,-0.07803180117965908
sub-pixar032,5.43,lFFA,,cornet_z_sl,imagenet_noface,aIT,0.034671646932323934
sub-pixar032,5.43,rFFA,,cornet_z_sl,imagenet_noface,aIT,-0.0625992427236116
sub-pixar032,5.43,lA1,,cornet_z_sl,imagenet_noface,aIT,-0.024635357569533153
sub-pixar032,5.43,rA1,,cornet_z_sl,imagenet_noface,aIT,-0.0765671611266288
sub-pixar033,5.81,lLO,,cornet_z_sl,imagenet_noface,aIT,0.1227939909210691
sub-pixar033,5.81,rLO,,cornet_z_sl,imagenet_noface,aIT,0.05690892021846419
sub-pixar033,5.81,lFFA,,cornet_z_sl,imagenet_noface,aIT,0.21366305344423078
sub-pixar033,5.81,rFFA,,cornet_z_sl,imagenet_noface,aIT,0.11514995554361107
sub-pixar033,5.81,lA1,,cornet_z_sl,imagenet_noface,aIT,0.058758607553295275
sub-pixar033,5.81,rA1,,cornet_z_sl,imagenet_noface,aIT,-0.029361110346975357
sub-pixar034,5.99,lLO,,cornet_z_sl,imagenet_noface,aIT,0.018230621688311757
sub-pixar034,5.99,rLO,,cornet_z_sl,imagenet_noface,aIT,-0.022645479880852637
sub-pixar034,5.99,lFFA,,cornet_z_sl,imagenet_noface,aIT,0.048788133926679376
sub-pixar034,5.99,rFFA,,cornet_z_sl,imagenet_noface,aIT,0.014942377135795487
sub-pixar034,5.99,lA1,,cornet_z_sl,imagenet_noface,aIT,0.08580854641093445
sub-pixar034,5.99,rA1,,cornet_z_sl,imagenet_noface,aIT,-0.026938296371028597
sub-pixar035,5.99,lLO,,cornet_z_sl,imagenet_noface,aIT,-0.20285600017096417
sub-pixar035,5.99,rLO,,cornet_z_sl,imagenet_noface,aIT,-0.09788140817239449
sub-pixar035,5.99,lFFA,,cornet_z_sl,imagenet_noface,aIT,-0.015171207434765497
sub-pixar035,5.99,rFFA,,cornet_z_sl,imagenet_noface,aIT,-0.15024686221290257
sub-pixar035,5.99,lA1,,cornet_z_sl,imagenet_noface,aIT,-0.2107770591835526
sub-pixar035,5.99,rA1,,cornet_z_sl,imagenet_noface,aIT,-0.12768149606858673
sub-pixar036,5.39,lLO,,cornet_z_sl,imagenet_noface,aIT,0.06605304212006112
sub-pixar036,5.39,rLO,,cornet_z_sl,imagenet_noface,aIT,0.05963283652325604
sub-pixar036,5.39,lFFA,,cornet_z_sl,imagenet_noface,aIT,-0.02128657959473884
sub-pixar036,5.39,rFFA,,cornet_z_sl,imagenet_noface,aIT,-0.02702631333898267
sub-pixar036,5.39,lA1,,cornet_z_sl,imagenet_noface,aIT,-0.1376163704310929
sub-pixar036,5.39,rA1,,cornet_z_sl,imagenet_noface,aIT,0.0069125566455605775
sub-pixar037,5.52,lLO,,cornet_z_sl,imagenet_noface,aIT,0.06381433067847292
sub-pixar037,5.52,rLO,,cornet_z_sl,imagenet_noface,aIT,0.09445502002473352
sub-pixar037,5.52,lFFA,,cornet_z_sl,imagenet_noface,aIT,0.18071956594198962
sub-pixar037,5.52,rFFA,,cornet_z_sl,imagenet_noface,aIT,0.012649273007758314
sub-pixar037,5.52,lA1,,cornet_z_sl,imagenet_noface,aIT,-0.01636218300040669
sub-pixar037,5.52,rA1,,cornet_z_sl,imagenet_noface,aIT,0.01916404685130621
sub-pixar038,5.55,lLO,,cornet_z_sl,imagenet_noface,aIT,0.03791413689550688
sub-pixar038,5.55,rLO,,cornet_z_sl,imagenet_noface,aIT,0.0938531864851947
sub-pixar038,5.55,lFFA,,cornet_z_sl,imagenet_noface,aIT,0.12490306257468024
sub-pixar038,5.55,rFFA,,cornet_z_sl,imagenet_noface,aIT,0.05000329075716219
sub-pixar038,5.55,lA1,,cornet_z_sl,imagenet_noface,aIT,-0.0367333393577269
sub-pixar038,5.55,rA1,,cornet_z_sl,imagenet_noface,aIT,-0.04735419004487913
sub-pixar039,5.54,lLO,,cornet_z_sl,imagenet_noface,aIT,-0.009366311088677953
sub-pixar039,5.54,rLO,,cornet_z_sl,imagenet_noface,aIT,-0.06860775148596783
sub-pixar039,5.54,lFFA,,cornet_z_sl,imagenet_noface,aIT,-0.0317751481975536
sub-pixar039,5.54,rFFA,,cornet_z_sl,imagenet_noface,aIT,0.09642853649598675
sub-pixar039,5.54,lA1,,cornet_z_sl,imagenet_noface,aIT,0.07128036378801803
sub-pixar039,5.54,rA1,,cornet_z_sl,imagenet_noface,aIT,-0.017025221846354507
sub-pixar040,5.29,lLO,,cornet_z_sl,imagenet_noface,aIT,-0.1370082893871515
sub-pixar040,5.29,rLO,,cornet_z_sl,imagenet_noface,aIT,-0.13357965269243544
sub-pixar040,5.29,lFFA,,cornet_z_sl,imagenet_noface,aIT,-0.2212770458553624
sub-pixar040,5.29,rFFA,,cornet_z_sl,imagenet_noface,aIT,-0.036605356946181014
sub-pixar040,5.29,lA1,,cornet_z_sl,imagenet_noface,aIT,0.017019029209083426
sub-pixar040,5.29,rA1,,cornet_z_sl,imagenet_noface,aIT,0.007837149653360836
sub-pixar041,5.49,lLO,,cornet_z_sl,imagenet_noface,aIT,0.09224073730166643
sub-pixar041,5.49,rLO,,cornet_z_sl,imagenet_noface,aIT,0.1248884319074869
sub-pixar041,5.49,lFFA,,cornet_z_sl,imagenet_noface,aIT,0.06023774074412585
sub-pixar041,5.49,rFFA,,cornet_z_sl,imagenet_noface,aIT,0.019677595851496726
sub-pixar041,5.49,lA1,,cornet_z_sl,imagenet_noface,aIT,0.013377708240208999
sub-pixar041,5.49,rA1,,cornet_z_sl,imagenet_noface,aIT,-0.042846357166326926
sub-pixar042,5.01,lLO,,cornet_z_sl,imagenet_noface,aIT,-0.00146923682253286
sub-pixar042,5.01,rLO,,cornet_z_sl,imagenet_noface,aIT,-0.0646700241517794
sub-pixar042,5.01,lFFA,,cornet_z_sl,imagenet_noface,aIT,0.19243647589086949
sub-pixar042,5.01,rFFA,,cornet_z_sl,imagenet_noface,aIT,-0.03196559542661928
sub-pixar042,5.01,lA1,,cornet_z_sl,imagenet_noface,aIT,0.08081207643536559
sub-pixar042,5.01,rA1,,cornet_z_sl,imagenet_noface,aIT,-0.0595845862177859
sub-pixar043,5.79,lLO,,cornet_z_sl,imagenet_noface,aIT,0.07764835886719916
sub-pixar043,5.79,rLO,,cornet_z_sl,imagenet_noface,aIT,0.07829563374431683
sub-pixar043,5.79,lFFA,,cornet_z_sl,imagenet_noface,aIT,0.14286586037454926
sub-pixar043,5.79,rFFA,,cornet_z_sl,imagenet_noface,aIT,0.05040321045592888
sub-pixar043,5.79,lA1,,cornet_z_sl,imagenet_noface,aIT,-0.0506063351238613
sub-pixar043,5.79,rA1,,cornet_z_sl,imagenet_noface,aIT,0.033327273250577896
sub-pixar044,5.76,lLO,,cornet_z_sl,imagenet_noface,aIT,0.06436327616110482
sub-pixar044,5.76,rLO,,cornet_z_sl,imagenet_noface,aIT,0.051278935086429826
sub-pixar044,5.76,lFFA,,cornet_z_sl,imagenet_noface,aIT,0.09301565143597296
sub-pixar044,5.76,rFFA,,cornet_z_sl,imagenet_noface,aIT,0.07002787524024999
sub-pixar044,5.76,lA1,,cornet_z_sl,imagenet_noface,aIT,-0.03227482555984434
sub-pixar044,5.76,rA1,,cornet_z_sl,imagenet_noface,aIT,0.14003194481220518
sub-pixar045,5.18,lLO,,cornet_z_sl,imagenet_noface,aIT,0.12378654439849067
sub-pixar045,5.18,rLO,,cornet_z_sl,imagenet_noface,aIT,0.14229320215245428
sub-pixar045,5.18,lFFA,,cornet_z_sl,imagenet_noface,aIT,0.09646594654885027
sub-pixar045,5.18,rFFA,,cornet_z_sl,imagenet_noface,aIT,0.14948150269811078
sub-pixar045,5.18,lA1,,cornet_z_sl,imagenet_noface,aIT,-0.003738103486251955
sub-pixar045,5.18,rA1,,cornet_z_sl,imagenet_noface,aIT,0.049537929304002505
sub-pixar046,5.97,lLO,,cornet_z_sl,imagenet_noface,aIT,-0.11861086676321939
sub-pixar046,5.97,rLO,,cornet_z_sl,imagenet_noface,aIT,-0.20793475667115463
sub-pixar046,5.97,lFFA,,cornet_z_sl,imagenet_noface,aIT,0.03885114038272683
sub-pixar046,5.97,rFFA,,cornet_z_sl,imagenet_noface,aIT,-0.1820915715505822
sub-pixar046,5.97,lA1,,cornet_z_sl,imagenet_noface,aIT,0.01109574319133139
sub-pixar046,5.97,rA1,,cornet_z_sl,imagenet_noface,aIT,-0.08905544531879488
sub-pixar047,5.47,lLO,,cornet_z_sl,imagenet_noface,aIT,-0.05083272518027768
sub-pixar047,5.47,rLO,,cornet_z_sl,imagenet_noface,aIT,-0.05156939437996248
sub-pixar047,5.47,lFFA,,cornet_z_sl,imagenet_noface,aIT,-0.09284168883002764
sub-pixar047,5.47,rFFA,,cornet_z_sl,imagenet_noface,aIT,-0.12058259607417683
sub-pixar047,5.47,lA1,,cornet_z_sl,imagenet_noface,aIT,-0.07151777577657145
